epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,146,22940,157.123287671,4.92649136931
2,172,34860,202.674418605,6.22852119714
3,77,45740,594.025974026,5.98389328665
4,75,71500,953.333333333,6.22040035551
5,67,122680,1831.04477612,7.23902454663
6,70,123280,1761.14285714,7.73733610517
7,58,138680,2391.03448276,7.99826094044
8,85,74980,882.117647059,8.5989133367
9,57,174660,3064.21052632,8.57983289212
10,66,172500,2613.63636364,8.70036561683
11,60,155720,2595.33333333,8.72161945838
12,56,195280,3487.14285714,8.92207771557
13,65,172020,2646.46153846,9.08885639153
14,97,130900,1349.48453608,9.41387015201
15,76,171520,2256.84210526,9.51954967803
16,65,177680,2733.53846154,9.78688230665
17,63,181660,2883.49206349,9.73188211529
18,64,206520,3226.875,9.8216647747
19,59,196480,3330.16949153,9.85648294042
