epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,222,55880,251.711711712,6.7959142361
2,189,50420,266.772486772,8.03190342904
3,207,37600,181.642512077,10.3345115613
4,174,78430,450.747126437,9.41816994317
5,180,121560,675.333333333,9.12074281484
6,146,167070,1144.31506849,8.52508505534
7,164,154510,942.134146341,7.63254238429
8,134,225010,1679.17910448,8.1178471287
9,149,238550,1601.00671141,8.31340738457
