epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,226,54600,241.592920354,9.21582557987
2,165,54050,327.575757576,10.7226848842
3,147,44980,305.986394558,8.87429492818
4,159,47270,297.295597484,9.86426236983
